,rates
AED,3.975634
AFN,97.958209
ALL,115.05202
AMD,429.135882
ANG,1.950576
AOA,545.952809
ARS,202.940565
AUD,1.563206
AWG,1.95096
AZN,1.844315
BAM,1.936841
BBD,2.185275
BDT,116.189624
BGN,1.961031
BHD,0.408002
BIF,2241.574627
BMD,1.082363
BND,1.418538
BOB,7.479017
BRL,5.561655
BSD,1.082289
BTC,4.6271428e-05
BTN,88.56655
BWP,13.787427
BYN,2.732411
BYR,21214.322879
BZD,2.181611
CAD,1.450963
CDF,2213.43357
CHF,1.003024
CLF,0.031257
CLP,862.481713
CNY,7.333125
COP,5084.402129
CRC,606.523588
CUC,1.082363
CUP,28.68263
CVE,109.194448
CZK,23.836244
DJF,192.358052
DKK,7.462939
DOP,61.291097
DZD,146.282298
EGP,32.668387
ERN,16.235451
ETB,58.102359
EUR,1.0
FJD,2.353102
FKP,0.882923
GBP,0.898785
GEL,2.847039
GGP,0.882923
GHS,13.258314
GIP,0.882923
GMD,66.024553
GNF,9317.648935
GTQ,8.496103
GYD,228.37103
HKD,8.493793
HNL,26.682403
HRK,7.622217
HTG,162.309701
HUF,389.283245
IDR,16338.383943
ILS,3.699681
IMP,0.882923
INR,89.285894
IQD,1579.683721
IRR,45675.736376
ISK,153.916208
JEP,0.882923
JMD,167.221948
JOD,0.767833
JPY,142.000711
KES,135.025252
KGS,93.35426
KHR,4448.431031
KMF,488.474717
KPW,974.100493
KRW,1350.638423
KWD,0.330175
KYD,0.901986
KZT,495.749626
LAK,18227.782612
LBP,16257.972225
LKR,395.055515
LRD,169.877351
LSL,18.498004
LTL,3.195938
LVL,0.654711
LYD,5.120696
MAD,10.999163
MDL,20.314931
MGA,4622.223309
MKD,61.016786
MMK,2272.92177
MNT,3785.528616
MOP,8.746333
MRO,386.403552
MUR,49.143351
MVR,16.614688
MWK,1110.887757
MXN,20.529841
MYR,4.608745
MZN,69.087665
NAD,18.497999
NGN,498.472054
NIO,39.547275
NOK,10.991055
NPR,141.706281
NZD,1.711517
OMR,0.415527
PAB,1.082289
PEN,4.142476
PGK,3.814525
PHP,58.706855
PKR,298.195129
PLN,4.729372
PYG,7909.807317
QAR,3.940927
RON,4.903868
RSD,117.66918
RUB,76.469379
RWF,1171.732232
SAR,4.061394
SBD,8.872427
SCR,14.415847
SDG,632.645395
SEK,11.405502
SGD,1.43262
SHP,1.490852
SLE,21.516144
SLL,21051.968733
SOS,615.327566
SRD,34.943062
STD,22402.737349
SVC,9.470154
SYP,2719.477958
SZL,18.558352
THB,36.086396
TJS,11.164047
TMT,3.799096
TND,3.29093
TOP,2.502371
TRY,20.369975
TTD,7.346116
TWD,32.4498
TZS,2531.648384
UAH,39.974189
UGX,3987.209045
USD,1.082363
UYU,41.901197
UZS,12248.554079
VEF,2425498.125671
VES,24.518182
VND,25381.422016
VUV,124.447943
WST,2.88584
XAF,649.60918
XAG,0.048438
XAU,0.00058
XCD,2.925142
XDR,0.797408
XOF,649.588377
XPF,118.659895
YER,271.027687
ZAR,18.906187
ZMK,9742.57343
ZMW,20.677476
ZWL,348.520577
